time_hour,predicted_up_count,predicted_down_count,predicted_total_count,date,hour,day_name,predicted_up_count_rounded,predicted_down_count_rounded,predicted_total_count_rounded
2026-05-22 01:00:00,6.278092442400497,5.813915334109435,12.09200777650993,2026-05-22,1,Friday,6,6,12
2026-05-22 02:00:00,6.612119929468322,6.333321160683946,12.945441090152269,2026-05-22,2,Friday,7,6,13
2026-05-22 03:00:00,5.774270775943694,5.765514942705265,11.53978571864896,2026-05-22,3,Friday,6,6,12
2026-05-22 04:00:00,5.573510889509387,5.72535709117339,11.298867980682777,2026-05-22,4,Friday,6,6,11
2026-05-22 05:00:00,6.5632732487462055,6.0308399716051335,12.594113220351339,2026-05-22,5,Friday,7,6,13
2026-05-22 06:00:00,11.878493325781362,10.705028058611658,22.58352138439302,2026-05-22,6,Friday,12,11,23
2026-05-22 07:00:00,27.652158170034586,25.804409440646236,53.45656761068082,2026-05-22,7,Friday,28,26,53
2026-05-22 08:00:00,26.871580633187545,25.274084572709818,52.14566520589736,2026-05-22,8,Friday,27,25,52
2026-05-22 09:00:00,26.85310941249022,25.790183216708364,52.643292629198584,2026-05-22,9,Friday,27,26,53
2026-05-22 10:00:00,14.954338432307924,13.700955263722314,28.65529369603024,2026-05-22,10,Friday,15,14,29
2026-05-22 11:00:00,19.989710945357665,18.3998640132336,38.38957495859127,2026-05-22,11,Friday,20,18,38
2026-05-22 12:00:00,20.07416563179999,18.755839962797854,38.83000559459784,2026-05-22,12,Friday,20,19,39
2026-05-22 13:00:00,21.152335694588533,19.675892381419217,40.82822807600775,2026-05-22,13,Friday,21,20,41
2026-05-22 14:00:00,14.038768489160354,12.98134595655058,27.020114445710934,2026-05-22,14,Friday,14,13,27
2026-05-22 15:00:00,13.294108110923021,12.133925658323287,25.42803376924631,2026-05-22,15,Friday,13,12,25
2026-05-22 16:00:00,13.081046008458516,11.796511671544447,24.877557680002965,2026-05-22,16,Friday,13,12,25
2026-05-22 17:00:00,34.868010864522645,30.6514534885049,65.51946435302754,2026-05-22,17,Friday,35,31,66
2026-05-22 18:00:00,34.75992937230481,30.438426369148637,65.19835574145344,2026-05-22,18,Friday,35,30,65
2026-05-22 19:00:00,35.01852446377305,31.159729500475297,66.17825396424834,2026-05-22,19,Friday,35,31,66
2026-05-22 20:00:00,34.85914868280938,30.82776019151096,65.68690887432035,2026-05-22,20,Friday,35,31,66
